service_id;fiscal_yr;program_id;org_id;si_yr;report_yr;measure_yr;planned_actual;ftes;spending;si_link_yr
1000;2018-2019;BWM06;129;2019;2019.0;2019.0;actual;7.0;36902725.77;2019.0
1001;2022-2023;BGN01;128;2023;2023.0;2023.0;actual;3679.0;70562235632.93;2023.0
1001;2018-2019;BGN01;128;2019;2019.0;2019.0;actual;2695.0;53639567170.41;2019.0
1001;2019-2020;BGN01;128;2020;2020.0;2020.0;actual;2854.0;56545113473.08;2020.0
1001;2020-2021;BGN01;128;2021;2021.0;2021.0;actual;2968.0;61421594723.98;2021.0
1001;2021-2022;BGN01;128;2022;2022.0;2022.0;actual;3205.0;62793990287.35;2022.0
1002;2018-2019;BNV01;313;2019;2019.0;2019.0;actual;1469.0;139486758.01;2019.0
1002;2018-2019;BNV02;313;2019;2019.0;2019.0;actual;1056.0;97677933.05;2019.0
1002;2018-2019;BNV03;313;2019;2019.0;2019.0;actual;639.0;66023802.15;2019.0
1002;2018-2019;BNV04;313;2019;2019.0;2019.0;actual;1331.0;1845055.01;2019.0
1002;2019-2020;BNV01;313;2020;2020.0;2020.0;actual;1296.0;130752821.54;2020.0
1002;2019-2020;BNV02;313;2020;2020.0;2020.0;actual;998.0;94183795.08;2020.0
1002;2019-2020;BNV03;313;2020;2020.0;2020.0;actual;698.0;69558056.85;2020.0
1002;2019-2020;BNV04;313;2020;2020.0;2020.0;actual;1308.0;13946480.37;2020.0
1002;2020-2021;BNV01;313;2021;2021.0;2021.0;actual;1296.0;126630842.31;2021.0
1002;2020-2021;BNV02;313;2021;2021.0;2021.0;actual;893.0;90528364.54;2021.0
1002;2020-2021;BNV03;313;2021;2021.0;2021.0;actual;1079.0;129679698.49;2021.0
1002;2020-2021;BNV04;313;2021;2021.0;2021.0;actual;1340.0;14714582.23;2021.0
1002;2021-2022;BNV01;313;2022;2022.0;2022.0;actual;1466.0;148723023.64;2022.0
1002;2021-2022;BNV02;313;2022;2022.0;2022.0;actual;1265.0;116191123.08;2022.0
1002;2021-2022;BNV03;313;2022;2022.0;2022.0;actual;1557.0;345577258.56;2022.0
1002;2021-2022;BNV04;313;2022;2022.0;2022.0;actual;1542.0;15289882.84;2022.0
1003;2022-2023;BGO01;128;2023;2023.0;2023.0;actual;13466.0;-345998297.97;2023.0
1003;2018-2019;BGO01;128;2019;2019.0;2019.0;actual;8277.0;76028850.87;2019.0
1003;2019-2020;BGO01;128;2020;2020.0;2020.0;actual;8462.0;4836775373.32;2020.0
1003;2020-2021;BGO01;128;2021;2021.0;2021.0;actual;11246.0;27472297028.41;2021.0
1003;2021-2022;BGO01;128;2022;2022.0;2022.0;actual;12524.0;163565971.93;2022.0
1004;2022-2023;BTG03;125;2023;2023.0;2023.0;actual;231.0;56284022.91;2023.0
1004;2018-2019;BTG03;125;2019;2019.0;2019.0;actual;138.0;31928869.92;2019.0
1004;2019-2020;BTG03;125;2020;2020.0;2020.0;actual;160.0;37267846.51;2020.0
1004;2020-2021;BTG03;125;2021;2021.0;2021.0;actual;176.0;42897001.97;2021.0
1004;2021-2022;BTG03;125;2022;2022.0;2022.0;actual;188.0;49176745.01;2022.0
1005;2022-2023;BGM06;128;2023;2023.0;2023.0;actual;3.0;913142.17;2023.0
1005;2018-2019;BGM06;128;2019;2019.0;2019.0;actual;1.0;338118.11;2019.0
1005;2019-2020;BGM06;128;2020;2020.0;2020.0;actual;1.0;499479.18;2020.0
1005;2020-2021;BGM06;128;2021;2021.0;2021.0;actual;1.0;520607.67;2021.0
1005;2021-2022;BGM06;128;2022;2022.0;2022.0;actual;2.0;607238.85;2022.0
1006;2022-2023;BTF01;125;2023;2023.0;2023.0;actual;622.0;107685186.36;2023.0
1006;2018-2019;BTF01;125;2019;2019.0;2019.0;actual;446.0;75559144.94;2019.0
1006;2019-2020;BTF01;125;2020;2020.0;2020.0;actual;498.0;103176344.14;2020.0
1006;2020-2021;BTF01;125;2021;2021.0;2021.0;actual;521.0;217921344.75;2021.0
1006;2021-2022;BTF01;125;2022;2022.0;2022.0;actual;629.0;135223230.36;2022.0
1007;2022-2023;BGO20;128;2023;2023.0;2023.0;actual;78.0;63429736.13;2023.0
1007;2018-2019;BGO20;128;2019;2019.0;2019.0;actual;62.0;96781066.87;2019.0
1007;2019-2020;BGO20;128;2020;2020.0;2020.0;actual;63.0;98345445.64;2020.0
1007;2020-2021;BGO20;128;2021;2021.0;2021.0;actual;56.0;65092085.14;2021.0
1007;2021-2022;BGO20;128;2022;2022.0;2022.0;actual;86.0;94338544.12;2022.0
1008;2022-2023;BTG01;125;2023;2023.0;2023.0;actual;584.0;94409264.88;2023.0
1008;2018-2019;BTG01;125;2019;2019.0;2019.0;actual;348.0;61056490.26;2019.0
1008;2019-2020;BTG01;125;2020;2020.0;2020.0;actual;446.0;99450595.21;2020.0
1008;2020-2021;BTG01;125;2021;2021.0;2021.0;actual;528.0;136310479.73;2021.0
1008;2021-2022;BTG01;125;2022;2022.0;2022.0;actual;579.0;106964101.85;2022.0
1009;2022-2023;BTG01;125;2023;2023.0;2023.0;actual;584.0;94409264.88;2023.0
1009;2018-2019;BTG01;125;2019;2019.0;2019.0;actual;348.0;61056490.26;2019.0
1009;2019-2020;BTG01;125;2020;2020.0;2020.0;actual;446.0;99450595.21;2020.0
1009;2020-2021;BTG01;125;2021;2021.0;2021.0;actual;528.0;136310479.73;2021.0
1009;2021-2022;BTG01;125;2022;2022.0;2022.0;actual;579.0;106964101.85;2022.0
1010;2022-2023;BTF03;125;2023;2023.0;2023.0;actual;110.0;22062399.83;2023.0
1010;2018-2019;BTF03;125;2019;2019.0;2019.0;actual;84.0;20366430.52;2019.0
1010;2019-2020;BTF03;125;2020;2020.0;2020.0;actual;86.0;17518681.2;2020.0
1010;2020-2021;BTF03;125;2021;2021.0;2021.0;actual;90.0;16886348.34;2021.0
1010;2021-2022;BTF03;125;2022;2022.0;2022.0;actual;105.0;15174649.38;2022.0
1011;2022-2023;BTG03;125;2023;2023.0;2023.0;actual;231.0;56284022.91;2023.0
1011;2018-2019;BTG03;125;2019;2019.0;2019.0;actual;138.0;31928869.92;2019.0
1011;2019-2020;BTG03;125;2020;2020.0;2020.0;actual;160.0;37267846.51;2020.0
1011;2020-2021;BTG03;125;2021;2021.0;2021.0;actual;176.0;42897001.97;2021.0
1011;2021-2022;BTG03;125;2022;2022.0;2022.0;actual;188.0;49176745.01;2022.0
1012;2022-2023;BWM06;129;2023;2023.0;2023.0;actual;49.0;715870714.39;2023.0
1012;2018-2019;BWM06;129;2019;2019.0;2019.0;actual;7.0;36902725.77;2019.0
1012;2019-2020;BWM06;129;2020;2020.0;2020.0;actual;59.0;46014538.71;2020.0
1012;2020-2021;BWM06;129;2021;2021.0;2021.0;actual;57.0;43524703.58;2021.0
1012;2021-2022;BWM06;129;2022;2022.0;2022.0;actual;55.0;247621188.05;2022.0
1013;2022-2023;BTF03;125;2023;2023.0;2023.0;actual;110.0;22062399.83;2023.0
1013;2018-2019;BTF03;125;2019;2019.0;2019.0;actual;84.0;20366430.52;2019.0
1013;2019-2020;BTF03;125;2020;2020.0;2020.0;actual;86.0;17518681.2;2020.0
1013;2020-2021;BTF03;125;2021;2021.0;2021.0;actual;90.0;16886348.34;2021.0
1013;2021-2022;BTF03;125;2022;2022.0;2022.0;actual;105.0;15174649.38;2022.0
1014;2018-2019;BWM06;129;2019;2019.0;2019.0;actual;7.0;36902725.77;2019.0
